3;[822, 258, 912, 304];car;9
4;[954, 205, 1035, 230];car;9
5;[807, 670, 974, 720];car;9
6;[1121, 277, 1171, 328];car;9
7;[534, 349, 714, 423];car;9
8;[989, 184, 1059, 212];car;9
9;[535, 347, 718, 421];truck;9
10;[1146, 221, 1187, 264];car;9
1;[1041, 465, 1092, 519];stop sign;10
2;[878, 235, 963, 274];car;10
3;[822, 258, 912, 304];car;10
4;[954, 205, 1035, 230];car;10
5;[807, 670, 974, 720];car;10
6;[1121, 277, 1171, 328];car;10
7;[543, 348, 723, 422];car;10
8;[989, 184, 1059, 212];car;10
9;[541, 348, 725, 422];truck;10
10;[1146, 221, 1187, 264];car;10
1;[1041, 465, 1092, 519];stop sign;11
2;[878, 235, 963, 274];car;11
3;[822, 258, 912, 304];car;11
4;[954, 205, 1036, 230];car;11
5;[807, 670, 974, 720];car;11
6;[1121, 277, 1171, 328];car;11
7;[549, 347, 733, 422];car;11
8;[989, 184, 1059, 212];car;11
10;[1147, 221, 1187, 264];car;11
1;[1041, 465, 1092, 519];stop sign;12
2;[877, 235, 962, 274];car;12
3;[821, 258, 912, 304];car;12
4;[955, 205, 1036, 230];car;12
5;[807, 670, 974, 720];car;12
6;[1121, 277, 1170, 327];car;12
7;[552, 346, 741, 424];car;12
8;[989, 184, 1059, 212];car;12
10;[1147, 222, 1187, 264];car;12
1;[1041, 465, 1092, 519];stop sign;13
2;[877, 235, 962, 274];car;13
3;[821, 258, 912, 304];car;13
4;[955, 205, 1036, 230];car;13
5;[807, 670, 974, 720];car;13
6;[1120, 277, 1170, 327];car;13
7;[558, 346, 748, 425];car;13
8;[988, 184, 1060, 212];car;13
1;[1040, 465, 1093, 519];stop sign;14
2;[877, 235, 963, 274];car;14
3;[821, 258, 911, 304];car;14
4;[954, 205, 1036, 230];car;14
5;[807, 670, 974, 720];car;14
6;[1120, 277, 1170, 327];car;14
7;[566, 349, 754, 427];car;14
8;[988, 184, 1060, 212];car;14
1;[1040, 465, 1093, 519];stop sign;15
2;[877, 235, 963, 274];car;15
3;[821, 258, 911, 304];car;15
4;[954, 205, 1036, 230];car;15
5;[807, 670, 974, 720];car;15
6;[1120, 277, 1170, 327];car;15
7;[575, 351, 762, 428];car;15
